23:34:07.388 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   | Initilizing ConfigurationManager
23:34:07.402 31-05-2016 | INFO  | main                 | o.c.s.configuration.ConfigurationRepository        | ConfigurationRepository.init()
23:34:08.578 31-05-2016 | INFO  | main                 | o.c.s.configuration.AbstractConfigurationManager   | Loading Strongbox configuration from orientdb ...
23:34:08.617 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   | Configuration version: 1.0
23:34:08.619 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   | Loading storages...
23:34:08.621 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |  -> Storage: storage0
23:34:08.622 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested-deep-1
23:34:08.622 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-redeployment
23:34:08.623 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-delete
23:34:08.623 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-by-juan
23:34:08.624 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested-deep-3
23:34:08.624 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested-deep-2
23:34:08.624 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-deployment
23:34:08.625 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-in-memory
23:34:08.625 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases
23:34:08.625 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-without-options
23:34:08.625 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-with-trash
23:34:08.625 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: snapshots
23:34:08.625 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-browsing
23:34:08.626 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases
23:34:08.626 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: snapshots-in-memory
23:34:08.626 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-delete-trash
23:34:08.626 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested
23:34:08.626 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-with-redeployment
23:34:08.627 31-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-with-options
23:34:08.716 31-05-2016 | INFO  | main                 | o.c.s.services.impl.ArtifactResolutionServiceImpl  | Loading resolvers...
23:34:08.716 31-05-2016 | INFO  | main                 | o.c.s.services.impl.ArtifactResolutionServiceImpl  |  -> class org.carlspring.strongbox.storage.resolvers.FSLocationResolver
23:34:08.716 31-05-2016 | INFO  | main                 | o.c.s.services.impl.ArtifactResolutionServiceImpl  |  -> class org.carlspring.strongbox.storage.resolvers.ProxyLocationResolver
23:34:08.716 31-05-2016 | INFO  | main                 | o.c.s.services.impl.ArtifactResolutionServiceImpl  |  -> class org.carlspring.strongbox.storage.resolvers.GroupLocationResolver
23:34:08.817 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.apache.maven:location-utils:1.0.1:jar...
23:34:08.905 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.apache.maven:location-utils:1.0.2:jar...
23:34:08.977 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.apache.maven:location-utils:1.1:jar...
23:34:09.054 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.apache.maven:location-utils:1.2:jar...
23:34:09.099 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.apache.maven:location-utils:1.2.1:jar...
23:34:09.146 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for com.carlspring.strongbox:foo:5.1:jar...
23:34:09.166 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for com.carlspring.strongbox:foo:5.2:jar...
23:34:09.175 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for com.carlspring.strongbox:foo:5.3:jar...
23:34:09.215 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.maven:locator-testing:2.1:jar...
23:34:09.279 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.maven:locator-testing:2.2:jar...
23:34:09.334 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.maven:locator-testing:2.3:jar...
23:34:09.389 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.maven:locator-testing:2.4:jar...
23:34:09.403 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.maven:locator-testing:2.5:jar...
23:34:09.424 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.maven:locator-testing:3.0:jar...
23:34:09.476 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.strongbox:locator:5.2.1:jar...
23:34:09.505 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.strongbox:locator:5.2.2:jar...
23:34:09.521 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.strongbox:locator:5.2.2:jar...
23:34:09.603 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.strongbox.locator:foo-locator:1.0:jar...
23:34:09.648 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.strongbox.locator:foo-locator:1.1:jar...
23:34:09.660 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.strongbox.locator:foo-locator:1.2:jar...
23:34:09.701 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.strongbox.locator:utils:2.1:jar...
23:34:09.722 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.strongbox.locator:utils:2.2:jar...
23:34:09.747 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.strongbox.locator:utils:2.3:jar...
23:34:09.826 31-05-2016 | DEBUG | main                 | o.c.s.artifact.locator.ArtifactDirectoryLocator    | Executed (cache: 3) visits in 21 ms.
23:34:09.839 31-05-2016 | DEBUG | main                 | o.c.s.artifact.locator.ArtifactDirectoryLocator    | Executed (cache: 3) visits in 10 ms.
23:34:09.847 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for com.artifacts.to.delete.releases:delete-foo:1.2.1:jar...
23:34:09.892 31-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for com.artifacts.to.delete.releases:delete-foo:1.2.2:jar...
23:34:09.910 31-05-2016 | DEBUG | main                 | o.c.strongbox.storage.resolvers.FSLocationResolver | Checking in storage0:releases(/Users/ivanursul/git/strongbox/strongbox-storage/strongbox-storage-api/target/strongbox-vault/storages/storage0/releases/com/artifacts/to/delete/releases/delete-foo/1.2.1/delete-foo-1.2.1.jar)...
23:34:09.911 31-05-2016 | DEBUG | main                 | o.c.strongbox.storage.resolvers.FSLocationResolver | Deleted /releases/com/artifacts/to/delete/releases/delete-foo/1.2.1/delete-foo-1.2.1.jar.md5.
